id_mpio,entidad,mpio,clasificacion_2000,grado_idh_2005,idh_2000,clasificacion_2005,idh_2005,tasa_moralidad_infantil_2000,tasa_mortalidad_infantil_2005,tasa_alfabetizacion_2000,tasa_alfabetizacion_2005,tasa_asistencia_escolar_2000,tasa_asistencia_escolar_2005,usd_ppc_2000,usd_ppc_2005,indice_salud_2000,indice_salud_2005,indice_educacion_2000,indice_educacion_2005,indice_ingreso_2000,indice_ingreso_2005
09014,Distrito Federal,Benito Juárez,1,alto,0.9164,1,0.9509,17.64877,3.019605,98.85189,97.66756,77.35046,78.7461,31182.45711,27823.99151,0.8740854,0.9998314,0.9168475,0.913604,0.9584369,0.939417
19019,Nuevo León,San Pedro Garza García,2,alto,0.8925,2,0.9500,18.40773,3.19099,97.89588,98.25252,65.29163,67.41299,27914.32713,33812.80571,0.8675618,0.9983585,0.870278,0.8797268,0.939958,0.9719535
20350,Oaxaca,San Sebastián Tutla,16,alto,0.8542,3,0.9204,17.97735,5.28144,97.33281,98.50385,80.50979,81.82547,10348.64186,16441.02375,0.8712608,0.9803898,0.9172514,0.9294439,0.7743416,0.8516056
09016,Distrito Federal,Miguel Hidalgo,4,alto,0.8816,4,0.9188,19.07023,7.298704,97.93376,97.94808,70.63835,73.14523,21289.51575,21549.16128,0.8618671,0.9630502,0.8883529,0.8968046,0.8947394,0.8967627
09003,Distrito Federal,Coyoacán,3,alto,0.8837,5,0.9169,18.81778,6.960091,97.50851,97.86929,73.6304,75.11398,20910.96663,19723.60869,0.8640369,0.9659608,0.8954914,0.9028419,0.891745,0.8819883
19046,Nuevo León,San Nicolás de los Garza,6,alto,0.8662,6,0.9151,18.73424,4.51215,98.08831,98.53203,67.97011,68.85583,16632.63927,18576.1856,0.8647552,0.9870025,0.8804891,0.8863996,0.8535396,0.8719847
08019,Chihuahua,Chihuahua,13,alto,0.8553,7,0.9117,18.96864,4.48686,97.90509,97.93701,69.44408,72.95582,13523.5548,16472.18443,0.8627402,0.9872198,0.8841809,0.8960994,0.8190014,0.8519216
28009,Tamaulipas,Ciudad Madero,21,alto,0.8503,8,0.9069,20.81063,7.35096,97.47545,97.66316,71.78574,73.79799,13211.9964,17410.08309,0.8469074,0.9626009,0.8891221,0.8970811,0.8151113,0.8611642
15054,México,Metepec,9,alto,0.8629,9,0.9066,17.63233,5.90352,97.15115,97.22629,71.22404,72.25221,14397.2891,16877.85222,0.8742267,0.9750425,0.8850878,0.889016,0.8294508,0.8559822
15020,México,Coacalco de Berriozábal,20,alto,0.8506,10,0.9045,17.1985,4.57432,98.48686,98.47066,74.01298,74.2792,10117.72237,13859.35783,0.8779556,0.9864681,0.903289,0.9040684,0.7705752,0.8230952
17007,Morelos,Cuernavaca,7,alto,0.8639,11,0.9033,17.7367,7.3538,95.35899,95.89791,68.19831,71.41718,16833.26558,18370.87411,0.8733296,0.9625768,0.8630543,0.8773767,0.8555408,0.8701298
15121,México,Cuautitlán Izcalli,29,alto,0.8447,12,0.9023,17.56927,6.1548,97.44592,97.3122,71.03847,70.63677,10273.32719,16272.99285,0.8747688,0.972883,0.8864344,0.8842039,0.7731225,0.849891
13048,Hidalgo,Pachuca de Soto,26,alto,0.8486,13,0.9022,17.45739,6.83282,96.01654,96.74211,70.43399,73.1049,11736.98628,16380.9011,0.8757305,0.9670547,0.8748902,0.8886304,0.7953532,0.8509941
24028,San Luis Potosí,San Luis Potosí,47,alto,0.8380,14,0.9011,19.33895,6.64185,95.92891,96.23024,67.69732,71.51892,11323.70964,16757.70193,0.859557,0.9686962,0.8651838,0.8799313,0.7893702,0.8547899
09004,Distrito Federal,Cuajimalpa de Morelos,35,alto,0.8426,15,0.8994,21.7618,14.32721,96.28645,96.7827,66.09293,67.83264,14179.3909,25407.48265,0.8387315,0.9026359,0.8622194,0.8713268,0.8269054,0.9242529
06010,Colima,Villa de Álvarez,53,alto,0.8360,16,0.8992,17.53117,7.47364,96.5259,97.49647,70.20898,73.24872,9242.931723,15513.75417,0.8750962,0.9615465,0.8775359,0.8941389,0.7554821,0.8419164
03003,Baja California Sur,La Paz,50,alto,0.8369,17,0.8989,21.49947,10.46236,96.68327,97.12543,67.58162,72.0146,12073.60225,18726.1731,0.8409863,0.9358569,0.8698272,0.8875515,0.8000726,0.8733269
30028,Veracruz,Boca del Río,27,alto,0.8484,18,0.8984,18.33234,7.54174,95.44393,95.82004,68.09328,68.9235,13108.29588,17904.45547,0.8682094,0.9609614,0.8632705,0.8685453,0.8137961,0.8658375
13051,Hidalgo,Mineral de la Reforma,28,alto,0.8449,19,0.8981,19.20092,7.66922,95.95232,96.83974,71.55468,73.1078,11783.70758,15841.52978,0.8607436,0.9598655,0.8781977,0.8892909,0.7960162,0.845406
22006,Querétaro,Corregidora,12,alto,0.8563,20,0.8976,20.16948,9.24593,92.72636,95.38375,62.75887,68.92086,20606.98711,19625.32128,0.8524181,0.9463127,0.827372,0.8656278,0.889301,0.8811545
26019,Sonora,Cananea,81,alto,0.8268,21,0.8951,19.91782,6.53076,98.43333,98.28063,67.19015,70.45229,8722.71923,14070.85406,0.8545812,0.9696512,0.8801894,0.8900452,0.7458137,0.825623
31050,Yucatán,Mérida,93,alto,0.8236,22,0.8940,20.71655,8.80077,95.3343,95.93917,69.82991,72.8372,9206.770277,16234.36198,0.8477159,0.9501393,0.8683284,0.8823851,0.7548279,0.8494943
09015,Distrito Federal,Cuauhtémoc,5,alto,0.8699,23,0.8921,18.09309,8.551744,97.6252,97.39411,71.14531,71.21424,16445.51919,15116.64978,0.8702659,0.9522799,0.8879857,0.8866749,0.8516513,0.8375885
15024,México,Cuautitlán,90,alto,0.8243,24,0.8919,18.2038,7.50521,96.80862,98.00369,68.48048,74.06996,7933.679159,13139.60849,0.8693144,0.961275,0.8736591,0.9002578,0.7299888,0.8141943
09002,Distrito Federal,Azcapotzalco,14,alto,0.8551,25,0.8915,19.70192,10.01258,97.62173,97.6584,72.24482,73.95099,13387.48803,15095.83986,0.8564374,0.939723,0.8916276,0.8975593,0.8173136,0.8373586
26030,Sonora,Hermosillo,46,alto,0.8394,26,0.8912,21.05994,10.03208,96.89847,97.43308,68.39145,73.47108,12050.4866,15309.62643,0.8447643,0.9395554,0.8739613,0.8944575,0.7997527,0.8397057
28038,Tamaulipas,Tampico,100,alto,0.8230,27,0.8912,21.40271,8.31393,97.0413,97.42149,67.01277,71.27093,9334.531831,14644.86014,0.8418178,0.9543236,0.8703179,0.8870463,0.757128,0.8322964
14120,Jalisco,Zapopan,34,alto,0.8426,28,0.8905,19.86424,8.40146,96.35862,96.31459,66.31712,67.60248,12783.09003,16356.31639,0.8550417,0.9535714,0.8634479,0.8674389,0.8096031,0.8507435
22014,Querétaro,Querétaro,11,alto,0.8588,29,0.8905,19.52688,7.67555,94.84599,95.68695,65.83254,67.88077,18016.90531,16056.81085,0.8579416,0.9598112,0.8517483,0.8641822,0.8668824,0.8476589
20409,Oaxaca,Santa María del Tule,8,alto,0.8637,30,0.8904,17.89925,6.74485,95.52987,96.03927,75.23745,72.38779,14598.05087,13766.86394,0.871932,0.9678109,0.8876573,0.8815544,0.8317621,0.8219776
32056,Zacatecas,Zacatecas,24,alto,0.8497,31,0.8900,20.01488,7.59519,96.72213,97.12938,69.48344,72.71853,13521.20576,13573.64696,0.8537471,0.9605018,0.8764257,0.8899243,0.8189725,0.8196185
21114,Puebla,Puebla,70,alto,0.8297,32,0.8897,18.85872,7.41978,95.31155,95.8336,67.27939,71.15766,9842.726056,14542.95332,0.8636849,0.9620097,0.859675,0.8760829,0.765976,0.831131
30087,Veracruz,Xalapa,55,alto,0.8355,33,0.8887,20.03642,8.46042,94.67335,95.05385,70.36148,73.0792,11187.76105,14958.05751,0.8535621,0.9530647,0.8656939,0.8772897,0.7873544,0.8358282
14039,Jalisco,Guadalajara,73,alto,0.8286,34,0.8882,18.05754,6.96827,96.83372,97.13047,65.31217,66.96229,9053.084315,14280.64453,0.8705717,0.9658906,0.8632654,0.870744,0.7520182,0.8280931
30118,Veracruz,Orizaba,83,alto,0.8264,35,0.8872,18.57373,7.59432,95.30634,96.00738,71.41398,73.61391,8416.862648,13270.31521,0.8661349,0.960509,0.8734221,0.8854288,0.7398562,0.8158464
06002,Colima,Colima,82,alto,0.8266,36,0.8870,19.70462,9.46548,95.39472,95.90369,68.58919,70.24702,9441.397062,15630.14422,0.8564138,0.9444257,0.8645955,0.8735147,0.759028,0.8431638
19039,Nuevo León,Monterrey,19,alto,0.8514,37,0.8869,19.91604,9.36425,96.76467,96.85056,61.82019,64.27174,16144.93353,16854.88272,0.8545966,0.9452957,0.8511651,0.8599095,0.8485724,0.855755
20157,Oaxaca,San Jacinto Amilpas,66,alto,0.8312,38,0.8862,19.54344,7.98117,93.19202,95.60375,70.32902,74.06798,10725.77508,13396.05335,0.8577992,0.957184,0.8557102,0.8842516,0.7803159,0.8174204
15013,México,Atizapán de Zaragoza,38,alto,0.8418,39,0.8857,19.5709,8.73001,96.08083,96.72458,66.89221,67.59517,12396.54122,15013.02939,0.8575635,0.9507474,0.8635129,0.8701478,0.8044782,0.8364405
15104,México,Tlalnepantla de Baz,33,alto,0.8431,40,0.8854,18.42309,8.80884,96.28299,96.69753,66.22703,68.60396,12013.49939,14701.89322,0.8674296,0.9500696,0.8626434,0.8733301,0.7992396,0.8329452
30193,Veracruz,Veracruz,44,alto,0.8397,41,0.8848,18.782,8.82091,95.45212,95.87896,67.7762,69.21824,11547.04448,14858.78868,0.8643443,0.9499661,0.8622681,0.8699206,0.79263,0.8347169
15037,México,Huixquilucan,31,alto,0.8437,42,0.8842,19.97244,11.02429,95.32863,95.62321,62.84231,65.33312,14621.86259,17986.55726,0.8541119,0.9310266,0.8449985,0.8552651,0.8320341,0.8666011
19026,Nuevo León,Guadalupe,32,alto,0.8432,43,0.8840,19.92426,8.56736,97.26744,97.51947,62.44842,65.47695,13502.33422,14596.20938,0.8545259,0.9521456,0.856611,0.8683863,0.8187394,0.831741
18017,Nayarit,Tepic,42,alto,0.8406,44,0.8840,19.46762,8.30868,95.61252,95.58916,68.95332,71.62108,11803.60592,13746.33905,0.8584514,0.9543687,0.8672612,0.875998,0.7962978,0.8217286
23005,Quintana Roo,Benito Juárez,63,alto,0.8320,45,0.8826,19.67423,9.76145,95.72754,96.05245,56.72616,62.40681,12977.8596,17057.95751,0.8566751,0.9418814,0.8272708,0.8483723,0.8121269,0.8577539
29033,Tlaxcala,Tlaxcala,17,alto,0.8538,46,0.8817,19.99583,8.45072,97.13903,97.15535,73.67639,75.94832,13158.83472,11456.33736,0.853911,0.9531478,0.8931815,0.9008634,0.8144383,0.7913137
